id_aluno,semestre_atual,total_semestres_cursados,nota_disciplina1,nota_disciplina2,nota_disciplina3,nota_disciplina4,nota_disciplina5,nota_disciplina6,nota_disciplina7,nota_disciplina8,nota_disciplina9,nota_disciplina10,media_notas,taxa_aprovacao,frequencia,evadiu,qtd_trancamentos,slope_notas,std_notas,Probabilidade,Nível de Risco,Previsão Evasão (0/1)
11,9,2,0.48,5.36,6.14,2.18,3.82,8.47,3.37,0.63,8.96,2.39,5.48,0.38,34,1,4,0.1397575757575757,2.995715458969879,0.5972516182213261,🔴 Alto,1
12,7,8,7.69,6.98,9.93,4.67,9.92,5.7,1.14,5.0,2.37,2.27,2.14,0.13,77,1,1,-0.7303636363636365,3.0969736123440823,0.4480421566911388,🟠 Médio,0
13,8,3,4.6,2.98,0.02,7.19,5.96,7.37,5.9,5.46,5.14,2.83,0.4,0.61,54,0,4,0.145030303030303,2.2478446466683493,0.4116469016131902,🟢 Baixo,0
14,8,10,9.3,5.74,2.4,1.67,5.12,9.45,0.31,2.94,8.12,0.94,0.51,0.31,25,0,2,-0.3371515151515153,3.4569268625953504,0.560396724535128,🟠 Médio,0
15,5,10,2.97,3.98,2.02,9.54,5.66,1.11,1.15,7.12,4.84,6.28,9.92,0.7,50,1,1,0.1914545454545454,2.756023907330591,0.4431598502398641,🟠 Médio,0
16,1,9,4.45,1.18,7.82,3.96,0.18,2.54,5.74,3.51,0.89,9.38,4.64,0.13,14,1,1,0.1726666666666667,3.0063793284724847,0.2471155998601943,🟢 Baixo,0
17,9,2,8.9,2.88,4.42,6.05,4.79,9.62,3.05,3.14,9.23,3.41,7.67,0.77,56,1,3,-0.0941212121212121,2.7325382990098337,0.5488545904974054,🟠 Médio,0
18,4,6,4.15,1.15,5.79,6.01,0.39,8.6,6.81,0.07,1.53,5.14,5.61,0.85,50,0,4,-0.0389090909090909,2.987191918098928,0.4477550086028671,🟠 Médio,0
19,7,6,8.83,7.17,5.22,0.26,4.71,9.58,4.5,6.14,0.75,2.45,3.09,0.19,93,0,4,-0.4858787878787879,3.145608755780738,0.4377117474674972,🟠 Médio,0
20,10,10,9.48,2.26,5.58,1.23,4.44,8.63,9.81,7.3,5.45,1.48,0.61,0.34,69,1,3,-0.0675151515151515,3.2220290363544386,0.3930461298975608,🟢 Baixo,0
21,10,7,1.41,1.38,4.93,2.76,2.32,9.84,4.14,3.74,1.46,8.72,8.68,0.86,97,0,0,0.4367272727272727,3.012403986482852,0.4416076336092515,🟠 Médio,0
22,10,2,8.49,5.33,7.67,8.08,4.93,2.41,1.64,0.33,8.07,4.33,1.61,0.75,48,0,0,-0.4654545454545454,2.9519439922419486,0.3981357562586458,🟢 Baixo,0
23,6,2,3.17,6.49,5.85,6.0,5.13,2.32,2.28,7.48,8.87,8.88,2.22,0.13,49,0,2,0.3771515151515152,2.446875785795248,0.422196222452945,🟢 Baixo,0
24,9,3,6.89,9.99,1.18,1.03,4.92,8.99,1.14,6.28,9.1,4.94,2.68,0.7,22,0,0,0.0370909090909091,3.433728779815513,0.320142876462792,🟢 Baixo,0
25,3,4,6.69,7.72,1.63,7.3,3.12,2.69,6.84,4.31,5.06,9.1,5.47,0.61,44,1,4,0.0888484848484848,2.4598563643703533,0.5932879345882427,🔴 Alto,1
26,2,4,0.55,9.72,1.79,3.93,1.92,0.84,4.99,2.43,2.27,0.15,6.56,0.45,94,1,4,-0.3057575757575758,2.829673911326965,0.5596013684601556,🟠 Médio,0
27,8,1,1.98,5.97,1.4,5.61,3.02,6.1,5.25,3.57,0.69,3.51,5.96,0.76,60,1,3,-0.0626666666666666,1.9659998869673303,0.418150982097026,🟢 Baixo,0
28,8,9,5.06,1.87,6.82,5.07,4.93,5.79,7.09,5.52,2.11,6.35,1.6,0.09,79,1,3,0.083090909090909,1.7802212721394437,0.7487352477608137,🔴 Alto,1
29,9,8,7.42,2.52,4.61,2.36,6.7,9.41,6.18,0.63,7.45,1.71,8.5,0.67,79,0,2,-0.137030303030303,2.956734121740855,0.4777911339626903,🟠 Médio,0
30,9,1,1.7,4.08,2.68,1.04,8.43,1.46,4.34,8.13,6.64,1.73,7.34,0.55,43,1,0,0.2931515151515151,2.8120101548733976,0.3832239422472769,🟢 Baixo,0
31,8,10,0.33,0.71,1.35,6.23,8.21,2.17,1.42,1.0,6.12,1.51,8.88,0.43,42,1,3,0.1592121212121212,2.8229623920035967,0.2571368030303305,🟢 Baixo,0
32,9,3,9.89,2.79,2.5,6.89,9.81,4.7,9.39,9.39,8.3,2.61,4.56,0.53,81,1,1,0.0599393939393939,3.1713896358256304,0.7414238461097119,🔴 Alto,1
33,2,1,2.82,8.21,4.18,7.67,2.86,5.83,8.87,5.12,2.57,7.97,7.3,0.75,15,0,0,0.1099393939393939,2.45226425982193,0.2875608470011857,🟢 Baixo,0
34,6,10,7.73,1.83,0.35,8.5,8.43,9.79,2.29,1.82,9.65,0.63,2.53,0.11,91,0,3,-0.1156363636363636,4.00215441980941,0.3089879023732313,🟢 Baixo,0
35,2,2,8.75,0.13,0.84,7.89,4.58,0.24,5.62,6.25,1.64,5.18,6.74,0.21,54,0,2,-0.0343030303030302,3.191212935546608,0.7659550308711524,🔴 Alto,1
36,10,7,9.95,8.97,6.27,7.21,3.25,9.38,1.0,0.95,5.71,3.09,3.58,0.18,77,0,0,-0.7494545454545456,3.370149353762629,0.6110484796249442,🔴 Alto,1
37,3,10,2.18,5.12,3.24,2.74,7.31,9.5,8.05,9.57,7.73,6.16,3.41,0.26,85,1,4,0.6294545454545455,2.7343087690391594,0.3853056352334541,🟢 Baixo,0
38,10,1,0.08,4.34,6.17,9.48,0.07,3.57,0.66,7.08,4.33,3.0,3.37,0.86,26,0,2,0.0472727272727272,3.1172131428212886,0.4588500179903689,🟠 Médio,0
39,7,8,1.91,2.15,7.65,3.97,2.66,2.33,5.7,7.21,2.18,1.77,1.7,0.41,51,1,3,0.0097575757575757,2.2746870358603424,0.5595235783147394,🟠 Médio,0
40,3,9,3.73,3.21,3.57,2.64,0.93,1.14,1.21,2.91,6.53,2.79,6.82,0.39,33,1,1,0.0448484848484848,1.6436287766875937,0.7097495409304732,🔴 Alto,1
41,9,7,3.99,7.01,3.37,5.84,9.08,2.98,8.35,5.62,0.65,0.64,6.35,0.81,16,0,1,-0.3756969696969697,2.9453996144647143,0.7823812133429358,🔴 Alto,1
42,9,6,6.16,3.11,5.69,8.52,0.73,1.74,0.83,1.66,0.43,6.61,1.03,0.91,40,0,1,-0.344969696969697,2.936043445031274,0.5769623299507247,🟠 Médio,0
43,6,3,7.05,5.59,1.04,8.95,0.85,5.27,3.97,5.99,1.11,7.31,4.49,0.4,78,0,3,-0.0896363636363636,2.8832005749783614,0.5903892366925744,🔴 Alto,1
44,1,6,7.5,1.02,4.53,4.87,8.66,3.06,8.35,4.81,8.66,5.35,9.98,0.03,28,0,0,0.2446666666666666,2.573939695399944,0.6303103627991418,🔴 Alto,1
45,9,4,0.96,5.88,8.54,7.67,9.48,9.51,3.42,7.02,1.91,1.84,7.99,0.64,41,1,4,-0.2435757575757575,3.323254930536226,0.4803293062462651,🟠 Médio,0
46,5,9,3.94,3.28,7.54,9.87,2.66,3.31,1.09,1.09,0.6,3.3,9.75,0.53,64,1,4,-0.4997575757575758,2.9376135439048707,0.2693917926500789,🟢 Baixo,0
47,6,5,0.5,3.31,3.54,7.45,1.9,4.56,5.6,7.43,3.48,0.03,2.77,0.13,45,0,2,0.0819393939393939,2.569824896758532,0.5199295630859395,🟠 Médio,0
48,10,8,3.13,9.92,2.05,6.62,0.04,0.63,3.33,8.97,0.86,2.71,8.34,0.55,77,0,3,-0.2538181818181817,3.494113144514165,0.5892645241800732,🟠 Médio,0
49,5,10,7.85,2.54,9.47,6.45,2.49,7.07,1.68,1.25,2.56,7.83,7.03,0.45,4,0,4,-0.3083030303030304,3.0880466677532943,0.6713782092650479,🔴 Alto,1
50,5,2,2.46,7.93,2.66,6.37,5.77,5.61,5.24,2.67,2.27,8.89,3.65,0.74,4,0,0,0.0893939393939394,2.390346557858644,0.375618950276655,🟢 Baixo,0
51,10,5,1.12,1.38,7.1,5.72,9.91,8.58,2.34,7.01,1.79,8.39,4.79,0.47,2,0,1,0.3416969696969699,3.36333234225291,0.5998756997321638,🔴 Alto,1
52,1,4,6.94,3.48,6.09,6.09,8.5,4.77,4.11,3.24,2.31,9.99,7.94,0.98,38,1,2,-0.0282424242424242,2.443402909423204,0.4814780650254252,🟠 Médio,0
53,6,3,8.58,2.57,3.56,9.05,0.73,9.65,6.75,7.34,7.63,3.78,6.71,0.34,32,0,1,0.0796363636363636,3.0678121049228406,0.6394483432706339,🔴 Alto,1
54,3,7,8.54,6.54,8.39,6.75,8.9,7.2,2.71,9.22,7.35,6.42,7.08,0.63,39,0,0,-0.1398787878787878,1.874126759616625,0.6955544604106615,🔴 Alto,1
55,4,3,3.12,0.6,8.78,4.91,3.21,0.35,7.68,2.51,3.59,7.77,4.44,0.66,79,0,4,0.2235151515151515,2.971456059091419,0.4481077700454898,🟠 Médio,0
56,10,7,4.77,3.54,1.44,6.83,9.24,9.3,9.5,8.52,7.9,0.04,1.81,0.69,20,1,1,0.1904242424242424,3.464902756371542,0.67958476256769,🔴 Alto,1
57,3,1,1.39,0.29,7.77,7.03,7.84,0.99,3.78,0.31,5.61,8.06,9.17,0.61,57,0,4,0.2628484848484848,3.32621590132424,0.4397637270460868,🟠 Médio,0
58,10,1,3.21,6.87,1.61,0.59,4.6,8.79,4.68,8.36,6.9,8.42,7.99,0.06,17,1,1,0.5897575757575758,2.929535609766314,0.5708593122935846,🟠 Médio,0
59,6,1,2.43,8.68,1.72,0.46,2.45,1.88,7.77,8.5,6.72,8.78,5.66,0.51,74,1,3,0.5981212121212123,3.4138067705519983,0.5953226376674091,🔴 Alto,1
60,8,6,1.73,2.5,3.77,0.09,6.34,6.36,1.99,1.47,9.71,4.56,0.57,0.04,79,1,2,0.4252121212121213,2.92363472410628,0.2244647338932231,🟢 Baixo,0
61,6,9,8.62,4.1,3.75,6.33,8.49,9.69,9.97,2.0,6.63,4.82,8.0,0.85,20,0,3,-0.0795151515151513,2.7300020350012764,0.6598447366442799,🔴 Alto,1
62,8,3,9.0,8.17,5.81,6.15,7.49,3.43,0.46,3.33,0.86,5.94,2.44,0.1,86,0,3,-0.6802424242424242,2.945339821933399,0.5067289276813178,🟠 Médio,0
63,8,1,3.83,5.57,3.09,0.13,8.1,8.46,1.56,6.64,1.09,7.63,4.25,0.4,64,1,1,0.1529696969696969,3.0884659982299016,0.560264540543606,🟠 Médio,0
64,5,6,2.31,5.44,3.44,3.92,4.76,1.97,2.63,0.68,2.08,7.87,2.14,0.73,44,1,3,0.0367272727272727,2.084594285066841,0.542463503331819,🟠 Médio,0
65,4,3,9.93,6.63,7.24,6.93,8.58,5.25,0.62,5.58,3.53,2.44,9.42,0.13,3,1,4,-0.7252727272727274,2.834102052581107,0.5874277662817801,🟠 Médio,0
66,5,9,5.34,9.88,1.29,0.84,2.85,4.98,4.19,9.59,7.84,0.76,5.66,0.66,83,0,4,-0.011030303030303,3.444716405034108,0.4044600907523281,🟢 Baixo,0
67,6,5,4.25,8.56,3.77,3.84,6.98,5.92,8.06,1.25,9.16,2.3,0.1,0.76,77,0,3,-0.086969696969697,2.732729404825879,0.2798132090095909,🟢 Baixo,0
68,5,6,6.89,4.88,7.68,3.59,9.56,4.77,8.4,6.33,0.19,9.43,8.71,0.11,10,0,1,-0.0429090909090908,2.905121148745589,0.5217138220568123,🟠 Médio,0
69,4,4,4.5,8.53,2.43,0.35,5.02,2.27,0.54,6.73,6.34,0.22,6.31,0.04,82,1,0,-0.2092727272727272,2.9596848555960213,0.8846262609896101,🔴 Alto,1
70,4,8,4.72,1.29,3.38,5.34,8.56,4.34,8.14,5.89,6.37,7.99,9.33,0.83,64,1,0,0.4952727272727274,2.298220567695316,0.7110341573102094,🔴 Alto,1
71,6,4,4.33,2.97,1.77,1.55,2.45,6.84,5.84,8.28,5.02,1.39,6.53,0.42,89,1,1,0.2284848484848483,2.407175384830389,0.6578133927062227,🔴 Alto,1
72,5,8,3.44,1.63,5.03,7.05,4.81,3.77,4.59,8.64,3.32,9.94,3.77,0.96,17,1,3,0.4846060606060606,2.5753912324149897,0.719382474818854,🔴 Alto,1
73,4,2,2.81,6.65,3.14,7.63,0.48,2.01,7.05,3.39,0.24,7.07,9.17,0.29,90,0,0,-0.0332727272727272,2.8268673277833343,0.7927310521283122,🔴 Alto,1
74,6,2,4.6,2.01,9.95,2.72,2.6,5.14,5.5,4.06,7.72,1.28,5.69,0.08,97,1,4,-0.0513939393939393,2.68736467359547,0.6713849799694219,🔴 Alto,1
75,10,5,0.11,5.53,7.74,8.51,8.08,6.58,2.54,7.01,8.64,5.23,0.88,0.22,15,0,2,0.2714545454545454,2.778041076410178,0.3561959124337347,🟢 Baixo,0
76,4,9,6.27,3.62,8.79,8.02,9.44,9.1,7.44,2.11,3.82,2.4,6.15,0.36,60,1,2,-0.4176363636363636,2.864756922013144,0.4278767763771132,🟠 Médio,0
77,2,10,8.14,3.09,7.82,0.16,3.26,1.58,2.11,5.59,2.5,0.1,9.45,0.1,82,1,2,-0.5058787878787879,2.868945799418316,0.1548548776974664,🟢 Baixo,0
78,1,6,4.07,1.25,7.26,4.19,3.56,4.81,7.02,7.18,5.25,4.92,6.16,0.71,91,0,3,0.2726666666666666,1.8761215904685449,0.6579014086995906,🔴 Alto,1
79,7,8,7.02,5.39,5.21,7.32,3.28,4.41,0.58,4.88,1.9,5.46,8.35,0.13,48,1,0,-0.3588484848484848,2.115226544210651,0.7688392759774603,🔴 Alto,1
80,2,5,9.29,5.08,8.12,8.53,4.83,0.4,9.82,9.66,1.19,5.17,7.54,0.57,63,0,1,-0.3464848484848484,3.4427200163694853,0.8086810593410909,🔴 Alto,1
81,10,4,9.73,2.09,4.63,4.76,4.51,3.16,3.89,2.39,8.38,0.19,6.3,0.12,11,1,0,-0.3453939393939393,2.854520975575412,0.6473077994521894,🔴 Alto,1
82,5,1,0.91,9.02,1.7,0.97,0.26,0.2,4.56,6.17,9.44,9.49,8.82,0.59,17,0,1,0.6861818181818182,3.96741393521439,0.2112660292098403,🟢 Baixo,0
83,8,1,7.97,9.52,7.52,6.15,5.54,3.88,5.58,6.39,3.03,2.94,1.16,0.83,89,1,1,-0.6043636363636363,2.150042893628972,0.6594612599809835,🔴 Alto,1
84,8,9,8.78,5.23,2.28,2.44,7.6,8.22,7.97,4.55,2.55,0.87,1.01,0.79,38,1,0,-0.372060606060606,2.934100089181236,0.7579891537096335,🔴 Alto,1
85,2,8,3.4,8.85,9.52,4.05,3.0,0.03,7.33,4.33,5.11,1.02,8.43,0.15,92,0,3,-0.4041212121212121,3.127257229231036,0.2413703368923282,🟢 Baixo,0
86,3,8,5.19,2.2,1.31,0.73,8.88,1.88,4.76,8.48,2.94,8.16,5.8,0.12,44,1,0,0.4415151515151516,3.1255045814858264,0.3975643063856888,🟢 Baixo,0
87,8,8,4.87,6.81,8.86,8.14,8.66,2.74,6.99,7.52,7.33,1.19,4.66,0.51,59,1,1,-0.2760606060606061,2.5738792598807825,0.5498438074614764,🟠 Médio,0
88,7,9,1.59,3.06,4.28,0.77,5.99,1.4,7.78,3.61,2.68,1.1,9.39,0.03,18,1,4,0.0364848484848485,2.2736470946721505,0.267707041261546,🟢 Baixo,0
89,4,6,6.63,5.28,6.25,6.2,5.45,4.79,3.36,9.96,3.47,7.45,6.53,0.61,82,1,0,0.0247272727272727,1.9380528601895484,0.5548468191997157,🟠 Médio,0
90,1,6,1.58,1.75,7.34,8.01,4.94,1.94,3.67,7.19,9.97,9.52,9.03,0.36,72,0,1,0.6801818181818182,3.238059947286681,0.347148089285418,🟢 Baixo,0
91,6,10,3.9,1.73,9.86,9.51,9.55,9.07,4.39,5.64,5.99,9.69,9.42,0.51,8,0,2,0.2726666666666666,2.9725224978122538,0.3196838384088194,🟢 Baixo,0
92,5,8,9.09,7.03,5.31,8.77,6.83,9.21,8.01,2.45,5.67,6.65,0.66,0.42,10,1,3,-0.2768484848484847,2.0760261184398536,0.7093545789786269,🔴 Alto,1
93,7,7,9.72,4.2,6.78,0.64,9.44,4.18,3.84,2.26,9.42,8.36,8.76,0.94,60,1,0,0.0366060606060604,3.2888201194011475,0.4551637579572404,🟠 Médio,0
94,2,1,7.51,9.17,4.43,8.27,4.45,6.75,5.08,2.41,3.42,4.07,9.39,0.43,71,1,0,-0.5368484848484849,2.23746483522957,0.6111424595042148,🔴 Alto,1
95,5,3,4.42,0.3,0.61,6.76,0.61,2.36,0.09,4.57,9.86,5.08,4.95,0.48,91,1,0,0.450909090909091,3.256194779868742,0.6838413619807947,🔴 Alto,1
96,10,4,7.56,1.22,0.48,0.93,3.44,1.76,6.79,3.58,7.46,8.89,0.89,0.5,73,0,2,0.5275757575757578,3.1788797817260512,0.3726656482459186,🟢 Baixo,0
97,8,2,5.47,4.87,7.03,5.43,3.31,9.43,0.84,5.42,6.66,0.93,9.16,0.82,13,1,2,-0.2668484848484849,2.6622857764626917,0.5187776197377771,🟠 Médio,0
98,5,2,8.99,3.89,7.87,3.16,3.87,3.7,2.41,5.07,6.77,9.13,3.15,0.18,95,0,4,0.0303030303030304,2.5007207849826907,0.3711298371730915,🟢 Baixo,0
99,7,7,4.51,0.9,4.01,3.88,1.17,1.07,8.15,4.68,7.82,4.93,3.05,0.05,92,0,2,0.4138181818181818,2.57110352442941,0.4471785529019115,🟠 Médio,0
100,6,3,4.17,6.84,8.78,9.96,3.54,3.81,8.08,2.79,9.5,8.37,3.57,0.37,96,1,0,0.1278787878787878,2.736563944478956,0.5100656255600562,🟠 Médio,0
101,4,10,1.25,8.63,7.07,8.69,8.15,8.19,2.73,1.4,8.11,9.86,8.9,0.53,9,1,3,0.1676363636363635,3.279887531947128,0.2458335161026831,🟢 Baixo,0
102,4,6,0.68,6.57,5.78,6.11,6.22,7.13,9.59,2.95,0.49,5.4,8.73,0.44,63,1,4,-0.0174545454545455,2.8805701596115383,0.5016714115290826,🟠 Médio,0
103,1,9,3.53,7.81,3.74,0.82,3.8,0.85,2.66,3.57,0.29,8.14,6.91,0.26,67,1,0,-0.057151515151515,2.69710317851497,0.7191240350374118,🔴 Alto,1
104,7,5,9.22,7.84,8.69,7.69,7.94,8.28,2.06,6.29,8.4,4.96,0.99,0.74,14,0,3,-0.3816363636363637,2.16871211142056,0.712300925668796,🔴 Alto,1
105,8,10,0.87,6.69,2.47,1.32,1.53,5.17,0.56,2.2,4.52,8.94,4.96,0.5,30,1,3,0.3481818181818181,2.798618905420632,0.4948155584007559,🟠 Médio,0
106,8,6,2.35,2.13,2.41,4.04,0.43,8.31,2.42,1.4,2.58,0.2,2.59,0.25,38,1,0,-0.1104848484848484,2.283554977077043,0.311870579674365,🟢 Baixo,0
107,5,1,1.39,1.74,5.31,3.29,8.04,1.1,3.49,0.12,3.97,3.91,0.87,0.11,62,1,3,0.0363636363636363,2.31799817850566,0.2262672094454605,🟢 Baixo,0
108,10,1,2.33,5.18,0.08,5.35,9.44,4.7,1.87,6.09,1.11,6.82,0.82,0.58,29,0,0,0.1623636363636364,2.9017467919245545,0.2027396320181161,🟢 Baixo,0
109,3,8,5.42,3.47,7.08,7.77,5.43,1.76,2.07,5.5,4.52,9.58,2.68,0.07,86,0,2,0.0976969696969697,2.4622663453728064,0.4835832089632161,🟠 Médio,0
110,6,7,5.22,1.13,8.41,5.49,2.05,1.34,5.17,4.85,5.06,2.53,1.16,0.37,5,0,1,-0.098,2.297129851696581,0.3326079413463276,🟢 Baixo,0
111,10,5,4.19,0.94,4.01,8.46,8.21,0.87,1.64,4.67,3.57,4.64,5.95,1.0,79,1,1,-0.0123636363636364,2.6516535721444967,0.345680914038058,🟢 Baixo,0
112,10,1,9.01,5.76,3.42,7.49,8.04,9.05,4.97,4.19,0.34,0.51,7.91,0.84,13,1,0,-0.7099393939393941,3.2103679263010063,0.914508790970518,🔴 Alto,1
113,5,5,3.24,9.27,9.37,3.25,2.88,5.16,7.16,7.89,0.15,2.46,3.63,0.34,17,0,4,-0.3893939393939394,3.1786232169849185,0.6917631279736873,🔴 Alto,1
114,3,2,6.89,1.31,4.37,1.16,3.48,8.46,0.76,4.84,2.56,8.96,1.81,0.48,19,1,4,0.2030909090909092,3.0009755821139974,0.5868204096777387,🟠 Médio,0
115,7,8,0.26,8.59,0.03,4.16,1.38,7.03,5.38,7.84,5.9,5.36,9.72,0.41,32,1,4,0.4571515151515151,3.0818574846276645,0.1151680706987585,🟢 Baixo,0
116,1,5,7.72,0.2,5.71,2.06,0.48,3.7,1.91,6.09,2.74,9.93,9.95,0.11,18,0,0,0.2566060606060606,3.2129259769458325,0.4430090892420977,🟠 Médio,0
117,1,9,6.58,8.59,1.51,3.1,3.88,0.98,8.59,1.8,3.08,4.44,5.88,0.54,13,0,3,-0.2594545454545454,2.7921964671403607,0.5702880101659826,🟠 Médio,0
118,10,1,3.4,6.6,2.51,4.95,3.83,9.39,4.77,4.85,2.82,0.98,9.84,0.67,31,0,3,-0.191030303030303,2.344516059990964,0.4225940101153685,🟢 Baixo,0
119,3,6,0.6,8.96,5.5,4.28,9.04,1.63,1.15,3.42,1.47,3.27,4.35,0.52,49,1,3,-0.336969696969697,3.0705584001755915,0.4586871637161644,🟠 Médio,0
120,6,5,4.58,2.58,9.62,1.37,2.58,9.89,8.69,6.22,4.02,6.86,4.72,0.96,57,0,4,0.2598181818181818,3.086499095523384,0.420215590900531,🟢 Baixo,0
121,4,1,2.96,8.58,3.38,2.56,1.44,5.09,9.21,2.35,4.2,6.93,7.71,0.32,51,0,3,0.1425454545454546,2.7133456183178075,0.6334973771329896,🔴 Alto,1
122,2,9,8.92,5.51,9.2,2.52,4.21,9.74,2.06,8.46,3.23,4.31,2.58,0.98,21,0,1,-0.3454545454545454,2.982807029926304,0.8850602477191934,🔴 Alto,1
123,10,4,8.5,3.3,4.95,7.88,6.3,3.81,4.81,5.68,4.48,7.41,2.99,0.28,45,0,2,-0.0581818181818181,1.7654259794420408,0.5402484012943436,🟠 Médio,0
124,7,4,5.44,8.1,4.5,0.81,8.21,7.39,3.97,3.46,5.95,6.64,0.71,0.12,54,1,0,-0.0047878787878788,2.3250426519385257,0.260163904235082,🟢 Baixo,0
125,3,10,9.2,0.79,4.02,8.99,0.29,0.84,7.79,0.91,5.99,2.1,7.98,0.77,13,0,1,-0.2793939393939393,3.611585678218241,0.3005807050666954,🟢 Baixo,0
126,4,2,2.31,7.41,4.97,1.09,1.68,8.26,9.36,1.99,6.98,9.69,1.39,0.28,12,1,1,0.4842424242424243,3.3759054752433126,0.6599969774853608,🔴 Alto,1
127,4,10,7.79,7.63,0.74,4.19,4.26,0.99,9.4,3.77,5.85,0.86,4.25,0.49,96,1,0,-0.2867878787878788,3.105986334662648,0.506667293588072,🟠 Médio,0
128,9,6,4.47,3.06,7.6,1.94,0.55,1.06,5.46,9.02,7.43,4.4,3.87,0.99,65,0,4,0.2916969696969698,2.8986795844545035,0.4374074615183916,🟠 Médio,0
129,2,4,2.04,7.74,5.74,3.15,6.27,8.26,7.44,1.89,8.07,7.27,4.0,0.17,44,1,1,0.2726666666666666,2.5053190082968144,0.5475629944184961,🟠 Médio,0
130,3,3,3.51,8.97,0.64,7.19,2.36,8.19,2.5,3.78,5.77,7.58,9.14,0.92,15,1,0,0.1314545454545454,2.8654278330934573,0.2376075218022004,🟢 Baixo,0
131,1,8,3.87,5.15,9.89,1.69,4.13,7.32,2.16,1.43,8.83,1.09,3.84,0.76,97,0,0,-0.2240000000000001,3.181597083227228,0.4981345334454955,🟠 Médio,0
132,3,10,10.0,9.13,0.69,6.08,6.63,4.54,0.22,4.19,0.88,7.17,4.58,0.36,84,0,0,-0.5175151515151516,3.4933843825786544,0.3192131183037034,🟢 Baixo,0
133,3,9,7.03,9.76,3.52,0.82,4.22,7.36,2.76,0.25,6.35,6.09,5.16,0.96,62,0,0,-0.2407272727272727,3.0344583994145937,0.5680945831991235,🟠 Médio,0
134,5,10,5.24,6.1,9.51,2.09,3.49,8.36,8.13,7.34,4.74,7.57,3.57,0.58,40,1,0,0.142969696969697,2.3520678845078717,0.6724912993633392,🔴 Alto,1
135,8,9,9.07,9.2,6.41,5.75,6.17,3.6,5.18,3.33,0.64,6.74,7.31,0.75,69,0,4,-0.6095151515151517,2.608407134206196,0.2817154958336255,🟢 Baixo,0
136,6,1,1.96,9.45,9.41,3.38,9.4,2.74,6.41,0.37,8.9,2.38,5.01,0.97,55,0,0,-0.2596363636363637,3.638491751017476,0.6163799413444402,🔴 Alto,1
137,2,7,1.51,0.7,9.22,8.14,3.59,4.06,9.37,8.45,0.33,1.26,4.04,0.31,77,0,2,-0.0274545454545455,3.754552939802258,0.5003474411006316,🟠 Médio,0
138,5,4,2.08,0.37,8.81,7.53,4.38,0.01,8.51,5.6,3.48,0.61,0.33,0.5,38,0,3,-0.0541818181818183,3.3829139313122742,0.3773218153173571,🟢 Baixo,0
139,6,7,4.74,6.29,4.21,4.97,2.5,1.12,6.63,6.35,8.43,3.29,3.43,0.07,63,0,3,0.0983636363636363,2.17596492006037,0.6619434665921723,🔴 Alto,1
140,4,4,3.56,3.56,6.01,0.25,3.27,4.7,4.26,8.29,0.64,3.72,9.98,0.54,24,1,4,0.0355151515151515,2.334514938911293,0.354844054909075,🟢 Baixo,0
